signal,min,max
pitch,0.5729577951308232,3.053865048047288
depth,1.76,8.25
wind_speed,0.0,6.43
yaw,-179.3587081877529,177.84609960860757
wind_angle,0.0,358.99816569511995
heading,0.0859436692696234,359.9779235247936
cog,0.2750197416627952,359.8117657642057
variation,1.0485127650894066,1.0542423430407146
sog,0.0,2.57
longitude,-0.3435932,-0.3196463
rudder_angle_order,-7.998490820026292,0.0
latitude,49.183434,49.1942583
roll,-2.102755108130121,1.4438536437296745
rate_of_turn,-10.449289140808633,7.3489625870555635
rudder_position,-34.25714657087192,22.878204759573773
