Signal,Coverage_%,Non_Null,Mean,Std,Min,Max,Is_Constant
wind_speed,100.0,98942,2.835539609063896,1.5958401472472,0.0,6.43,False
wind_angle,100.0,98942,151.38032136944818,138.63322881772277,0.0,358.99816569511995,False
yaw,99.99898930686665,98941,42.69865923804309,73.70597636882509,-179.7483194884419,179.79415611205235,False
pitch,99.99898930686665,98941,1.4145818420170446,0.34564129413706707,0.567228217179515,3.082512937803829,False
roll,99.99898930686665,98941,-0.13287801657041995,0.6894896612894215,-2.102755108130121,1.4839606893888324,False
heading,99.9979786137333,98940,105.7370441274372,84.23368231209255,0.0286478897565411,359.9779235247936,False
deviation,0.0,0,,,,,True
variation,99.9979786137333,98940,1.0514919255675246,0.0028625194938205435,1.0485127650894066,1.0542423430407146,False
rate_of_turn,99.99696792059994,98939,0.19608504961292217,2.3037078437784273,-10.455833393124893,7.36166255468326,False
cog,99.99595722746659,98938,132.86001707197033,88.03325531101595,0.0057295779513082,359.8117657642057,False
sog,99.99595722746659,98938,1.2877663789443894,0.765782081844173,0.0,2.57,False
rudder_angle_order,99.9919144549332,98934,-6.716261612619161,2.9345994361996763,-7.998490820026292,0.0,False
rudder_position,99.99494653433325,98937,-0.8296626582936956,7.677682787274662,-34.25714657087192,22.906852649330315,False
latitude,99.9939358411999,98936,49.18565276498545,0.0037607503244419106,49.183434,49.1942626,False
longitude,99.9939358411999,98936,-0.33599779258207324,0.007447915138760527,-0.3435935,-0.3196457,False
depth,99.99292514806655,98935,5.171691009248496,1.9542578897659493,1.76,8.28,False
