Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
3110000	Receive	 16:01:55.576.0	0x09f80103	Data	Extend	8	B1 80 51 1D 3F 2A CE FF 
3110001	Receive	 16:01:55.576.0	0x19f21445	Data	Extend	8	45 1E 05 A4 FF 58 1B FF 
3110002	Receive	 16:01:55.576.0	0x15fd08d8	Data	Extend	8	FF 04 03 2A 7B FF FF FF 
3110003	Receive	 16:01:55.576.0	0x1dff1d03	Data	Extend	8	C0 8B 3F 9F 04 22 FF 12 
3110004	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C1 1D 4E DE 10 40 98 5C 
3110005	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C2 12 FF FF FF 7F 11 54 
3110006	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C3 00 05 DE E6 30 11 FF 
3110007	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C4 FF FF 7F 00 55 3E 06 
3110008	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C5 A9 11 CC 10 FF FF FF 
3110009	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C6 7F 11 8A BC 11 F4 51 
3110010	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C7 94 11 FF FF FF 7F 00 
3110011	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C8 8D B7 07 34 D1 A0 0F 
3110012	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	C9 FF FF FF 7F 00 8F B2 
3110013	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	CA 06 A7 C1 3C 0F FF FF 
3110014	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	CB FF 7F 00 96 4F 20 FF 
3110015	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	CC CC 68 10 FF FF FF 7F 
3110016	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	CD 08 98 B0 14 12 81 94 
3110017	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	CE 11 FF FF FF 7F 19 9E 
3110018	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	CF 0F 2B DA 4F 24 13 FF 
3110019	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	D0 FF FF 7F 09 A0 58 37 
3110020	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	D1 7F 53 24 13 FF FF FF 
3110021	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	D2 7F 19 A1 23 15 A9 21 
3110022	Receive	 16:01:55.590.0	0x1dff1d03	Data	Extend	8	D3 CC 10 FF FF FF 7F 00 
3110023	Receive	 16:01:55.623.0	0x09fd0219	Data	Extend	8	FF 34 01 8B 09 FA FF FF 
3110024	Receive	 16:01:55.623.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
3110025	Receive	 16:01:55.623.0	0x09f10514	Data	Extend	8	C0 15 30 38 FF FF 7F FF 
3110026	Receive	 16:01:55.623.0	0x09f10514	Data	Extend	8	C1 FF FF FF D1 06 D1 06 
3110027	Receive	 16:01:55.623.0	0x09f10514	Data	Extend	8	C2 FF 7F FF 7F FF 7F FF 
3110028	Receive	 16:01:55.623.0	0x09f10514	Data	Extend	8	C3 FF FF FF FF FF FF FF 
3110029	Receive	 16:01:55.623.0	0x09f10d14	Data	Extend	8	FF 00 74 05 FF 7F FF FF 
3110030	Receive	 16:01:55.623.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 2B FD FF FF 
3110031	Receive	 16:01:55.623.0	0x0df11903	Data	Extend	8	FF F3 27 31 01 41 00 FF 
3110032	Receive	 16:01:55.623.0	0x09f11203	Data	Extend	8	FF F3 27 FF 7F B8 00 FC 
3110033	Receive	 16:01:55.623.0	0x18ea4512	Data	Extend	3	00 EE 00 
3110034	Receive	 16:01:55.623.0	0x1cff0003	Data	Extend	8	3F 9F 00 00 00 00 FF FF 
3110035	Receive	 16:01:55.623.0	0x09fd0220	Data	Extend	8	FF 34 01 8B 09 FA FF FF 
3110036	Receive	 16:01:55.638.0	0x0df50b23	Data	Extend	8	FF 84 03 00 00 00 00 0E 
3110037	Receive	 16:01:55.638.0	0x09f11303	Data	Extend	8	FF B2 1A FD FF FF FF FF 
3110038	Receive	 16:01:55.638.0	0x0df11403	Data	Extend	8	FF 00 00 FF FF FF FF FF 
3110039	Receive	 16:01:55.639.0	0x1dff1a03	Data	Extend	8	00 1D 3F 9F E5 FF FF FF 
3110040	Receive	 16:01:55.639.0	0x1dff1a03	Data	Extend	8	01 07 00 00 00 E7 FF FF 
3110041	Receive	 16:01:55.639.0	0x1dff1a03	Data	Extend	8	02 FF 00 A0 05 00 00 77 
3110042	Receive	 16:01:55.639.0	0x1dff1a03	Data	Extend	8	03 00 00 00 5B FE FF FF 
3110043	Receive	 16:01:55.639.0	0x1dff1a03	Data	Extend	8	04 00 00 FF FF FF FF FF 
