Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1880000	Receive	 15:26:57.843.0	0x0df11903	Data	Extend	8	FF E0 70 38 01 F5 FF FF 
1880001	Receive	 15:26:57.843.0	0x09f11203	Data	Extend	8	FF E0 70 FF 7F B8 00 FC 
1880002	Receive	 15:26:57.843.0	0x1cff0003	Data	Extend	8	3F 9F 17 00 00 00 FF FF 
1880003	Receive	 15:26:57.843.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 94 FF FF FF 
1880004	Receive	 15:26:57.856.0	0x09f11303	Data	Extend	8	FF 5D 78 03 00 FF FF FF 
1880005	Receive	 15:26:57.856.0	0x0df11403	Data	Extend	8	FF 02 00 FF FF FF FF FF 
1880006	Receive	 15:26:57.856.0	0x1dff1a03	Data	Extend	8	C0 1D 3F 9F 15 00 00 00 
1880007	Receive	 15:26:57.857.0	0x1dff1a03	Data	Extend	8	C1 F2 FF FF FF 17 00 00 
1880008	Receive	 15:26:57.857.0	0x1dff1a03	Data	Extend	8	C2 00 00 A0 FF FF FF 1B 
1880009	Receive	 15:26:57.857.0	0x1dff1a03	Data	Extend	8	C3 00 00 00 72 00 00 00 
1880010	Receive	 15:26:57.857.0	0x1dff1a03	Data	Extend	8	C4 00 00 FF FF FF FF FF 
1880011	Receive	 15:26:57.857.0	0x1dff1b03	Data	Extend	8	20 0A 3F 9F F4 FF C6 00 
1880012	Receive	 15:26:57.857.0	0x1dff1b03	Data	Extend	8	21 4E 00 29 00 FF FF FF 
1880013	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	20 A3 3F 9F 14 22 FF 14 
1880014	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	21 1F 4B BB 02 10 19 00 
1880015	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	22 00 FF FF FF 7F 00 4C 
1880016	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	23 9F 28 41 1E F8 11 FF 
1880017	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	24 FF FF 7F 03 4D 25 2D 
1880018	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	25 FB 8B A0 0F FF FF FF 
1880019	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	26 7F 03 53 25 03 09 D1 
1880020	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	27 00 00 FF FF FF 7F 00 
1880021	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	28 54 B2 06 BA F1 48 0D 
1880022	Receive	 15:26:57.857.0	0x1dff1d03	Data	Extend	8	29 FF FF FF 7F 00 8A 35 
1880023	Receive	 15:26:57.858.0	0x1dff1d03	Data	Extend	8	2A 19 74 4B CC 10 FF FF 
1880024	Receive	 15:26:57.858.0	0x1dff1d03	Data	Extend	8	2B FF 7F 21 8D 9F 09 15 
1880025	Receive	 15:26:57.858.0	0x1dff1d03	Data	Extend	8	2C D9 3C 0F FF FF FF 7F 
1880026	Receive	 15:26:57.858.0	0x1dff1d03	Data	Extend	8	2D 00 8F 4D 0B 04 C9 74 
1880027	Receive	 15:26:57.858.0	0x1dff1d03	Data	Extend	8	2E 0E FF FF FF 7F 00 96 
1880028	Receive	 15:26:57.858.0	0x1dff1d03	Data	Extend	8	2F 78 18 11 CA D8 0E FF 
1880029	Receive	 15:26:57.871.0	0x08ff3e14	Data	Extend	8	41 9F 13 01 00 00 FF 7F 
1880030	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	30 FF FF 7F 00 98 A0 0B 
1880031	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	31 F6 7F A0 0F FF FF FF 
1880032	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	32 7F 00 9E E2 24 26 5E 
1880033	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	33 5C 12 FF FF FF 7F 23 
1880034	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	34 A0 46 3A E2 E1 5C 12 
1880035	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	35 FF FF FF 7F 23 A1 F1 
1880036	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	36 1A FC 27 94 11 FF FF 
1880037	Receive	 15:26:57.871.0	0x1dff1d03	Data	Extend	8	37 FF 7F 03 FF FF FF FF 
1880038	Receive	 15:26:57.871.0	0x19f21445	Data	Extend	8	45 28 05 AF FF 88 13 FF 
1880039	Receive	 15:26:57.887.0	0x09f80109	Data	Extend	8	57 5E 51 1D B1 12 CE FF 
1880040	Receive	 15:26:57.887.0	0x09f8010c	Data	Extend	8	20 5E 51 1D C0 12 CE FF 
1880041	Receive	 15:26:57.887.0	0x09f80103	Data	Extend	8	74 5E 51 1D 42 13 CE FF 
1880042	Receive	 15:26:57.887.0	0x1cff040d	Data	Extend	8	27 99 07 0F 0E 00 00 00 
1880043	Receive	 15:26:57.887.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 8E FF FF FF 
1880044	Receive	 15:26:57.903.0	0x18ea4512	Data	Extend	3	00 EE 00 
1880045	Receive	 15:26:57.903.0	0x09fd0219	Data	Extend	8	FF 58 01 9F B2 FA FF FF 
1880046	Receive	 15:26:57.918.0	0x09fd0220	Data	Extend	8	FF 58 01 9F B2 FA FF FF 
1880047	Receive	 15:26:57.918.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
1880048	Receive	 15:26:57.918.0	0x0df50b23	Data	Extend	8	FF B4 03 00 00 00 00 0E 
1880049	Receive	 15:26:57.934.0	0x09f80209	Data	Extend	8	C7 FC 19 7D 38 00 FF FF 
1880050	Receive	 15:26:57.935.0	0x09f8020c	Data	Extend	8	C7 FC 09 7D 33 00 FF FF 
1880051	Receive	 15:26:57.935.0	0x0df11903	Data	Extend	8	FF DE 70 38 01 F0 FF FF 
1880052	Receive	 15:26:57.935.0	0x09f11203	Data	Extend	8	FF DE 70 FF 7F B8 00 FC 
1880053	Receive	 15:26:57.935.0	0x1cff0003	Data	Extend	8	3F 9F 19 00 00 00 FF FF 
1880054	Receive	 15:26:57.949.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 97 FF FF FF 
1880055	Receive	 15:26:57.949.0	0x09f11303	Data	Extend	8	FF CA 36 03 00 FF FF FF 
1880056	Receive	 15:26:57.949.0	0x0df80503	Data	Extend	8	40 2B FF 99 4F 50 F8 DB 
1880057	Receive	 15:26:57.949.0	0x0df80503	Data	Extend	8	41 1C 40 92 0C 47 D9 7A 
1880058	Receive	 15:26:57.949.0	0x0df80503	Data	Extend	8	42 D3 06 1A AA 68 17 40 
1880059	Receive	 15:26:57.949.0	0x0df80503	Data	Extend	8	43 60 F4 FF A1 7F 26 03 
1880060	Receive	 15:26:57.949.0	0x0df80503	Data	Extend	8	44 00 00 00 00 24 FC 1A 
