Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1370000	Receive	 15:12:26.860.0	0x09f11203	Data	Extend	8	FF 9F 35 FF 7F B8 00 FC 
1370001	Receive	 15:12:26.860.0	0x1cff0003	Data	Extend	8	3F 9F 6B 00 00 00 FF FF 
1370002	Receive	 15:12:26.860.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
1370003	Receive	 15:12:26.860.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 0B FF FF FF 
1370004	Receive	 15:12:26.860.0	0x09f11303	Data	Extend	8	FF 8E FE 08 00 FF FF FF 
1370005	Receive	 15:12:26.860.0	0x0df11403	Data	Extend	8	FF 0B 00 FF FF FF FF FF 
1370006	Receive	 15:12:26.860.0	0x1dff1a03	Data	Extend	8	00 1D 3F 9F 25 00 00 00 
1370007	Receive	 15:12:26.860.0	0x19f21448	Data	Extend	8	48 56 13 C9 FE 07 76 FF 
1370008	Receive	 15:12:26.860.0	0x1dff1a03	Data	Extend	8	01 01 00 00 00 E8 FF FF 
1370009	Receive	 15:12:26.860.0	0x1dff1a03	Data	Extend	8	02 FF 00 4D FF FF FF CF 
1370010	Receive	 15:12:26.860.0	0x1dff1a03	Data	Extend	8	03 FE FF FF D8 03 00 00 
1370011	Receive	 15:12:26.860.0	0x1dff1a03	Data	Extend	8	04 00 00 FF FF FF FF FF 
1370012	Receive	 15:12:26.860.0	0x1dff1b03	Data	Extend	8	60 0A 3F 9F 3F FF 8E 00 
1370013	Receive	 15:12:26.860.0	0x18ea4512	Data	Extend	3	00 EE 00 
1370014	Receive	 15:12:26.860.0	0x1dff1b03	Data	Extend	8	61 D4 00 16 00 FF FF FF 
1370015	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	40 97 3F 9F 14 22 FF 0F 
1370016	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	41 1E 4B 2A 07 2F 18 04 
1370017	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	42 10 FF FF FF 7F 02 4C 
1370018	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	43 9F 2D 19 23 24 13 FF 
1370019	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	44 FF FF 7F 03 4D 5A 27 
1370020	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	45 54 89 A0 0F FF FF FF 
1370021	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	46 7F 01 4E 5F 01 72 90 
1370022	Receive	 15:12:26.860.0	0x1dff1d03	Data	Extend	8	47 00 00 FF FF FF 7F 00 
1370023	Receive	 15:12:26.871.0	0x1dff1d03	Data	Extend	8	48 54 19 06 D2 00 98 08 
1370024	Receive	 15:12:26.871.0	0x1dff1d03	Data	Extend	8	49 FF FF FF 7F 00 8A 4B 
1370025	Receive	 15:12:26.871.0	0x1dff1d03	Data	Extend	8	4A 1C 73 48 30 11 FF FF 
1370026	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	4B FF 7F 00 8D 9C 09 61 
1370027	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	4C DC 68 10 FF FF FF 7F 
1370028	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	4D 00 96 5E 15 5E C8 A0 
1370029	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	4E 0F FF FF FF 7F 00 9E 
1370030	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	4F 80 21 AD 61 5C 12 FF 
1370031	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	50 FF FF 7F 00 A0 E4 36 
1370032	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	51 E5 D6 5C 12 FF FF FF 
1370033	Receive	 15:12:26.872.0	0x1dff1d03	Data	Extend	8	52 7F 21 A1 A6 1C CF 2B 
