Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
880000	Receive	 14:56:48.098.0	0x19f51323	Data	Extend	8	A2 00 FF FF FF FF FF FF 
880001	Receive	 14:56:48.098.0	0x09f80103	Data	Extend	8	2F DC 50 1D BB 0B CD FF 
880002	Receive	 14:56:48.112.0	0x19f21248	Data	Extend	8	80 0B FF 48 00 4D 0B 77 
880003	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A0 97 3F 9F 24 22 FF 15 
880004	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A1 1E 4C 1A 32 2A 2F F8 
880005	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A2 11 FF FF FF 7F 12 4D 
880006	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A3 30 21 1E 87 04 10 FF 
880007	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A4 FF FF 7F 12 53 AD 07 
880008	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A5 CF D9 3C 0F FF FF FF 
880009	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A6 7F 00 54 A1 04 7A 05 
880010	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A7 D8 0E FF FF FF 7F 00 
880011	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A8 8A 9B 1F 03 45 CC 10 
880012	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	A9 FF FF FF 7F 16 8D 0C 
880013	Receive	 14:56:48.112.0	0x1dff1d03	Data	Extend	8	AA 09 CF DF 68 10 FF FF 
880014	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	AB FF 7F 00 8F 73 0D 2E 
880015	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	AC D0 48 0D FF FF FF 7F 
880016	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	AD 00 96 1F 12 54 C6 74 
880017	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	AE 0E FF FF FF 7F 00 9E 
880018	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	AF 9E 1D 79 64 C0 12 FF 
880019	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	B0 FF FF 7F 14 A0 3B 33 
880020	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	B1 54 D1 C0 12 FF FF FF 
880021	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	B2 7F 00 A1 D7 1D A2 30 
880022	Receive	 14:56:48.128.0	0x19f21445	Data	Extend	8	45 1E 05 97 FF 78 1E FF 
880023	Receive	 14:56:48.128.0	0x1cff1912	Data	Extend	8	41 9F 64 0B 00 00 00 00 
880024	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	B3 68 10 FF FF FF 7F 14 
880025	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	B4 A4 62 0B C5 AA 04 10 
880026	Receive	 14:56:48.128.0	0x1dff1d03	Data	Extend	8	B5 FF FF FF 7F 00 FF FF 
880027	Receive	 14:56:48.143.0	0x09fd0219	Data	Extend	8	FF 2E 00 44 48 FA FF FF 
880028	Receive	 14:56:48.143.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 31 F5 FF FF 
880029	Receive	 14:56:48.143.0	0x09fd0220	Data	Extend	8	FF 2E 00 44 48 FA FF FF 
880030	Receive	 14:56:48.143.0	0x19f21248	Data	Extend	8	81 00 0F 00 20 00 FF FF 
880031	Receive	 14:56:48.158.0	0x19f11a03	Data	Extend	8	FF F7 55 47 B8 00 FF FF 
880032	Receive	 14:56:48.158.0	0x0df11903	Data	Extend	8	FF 3F C5 87 01 37 00 FF 
880033	Receive	 14:56:48.158.0	0x09f11203	Data	Extend	8	FF AF BA FF 7F B8 00 FC 
880034	Receive	 14:56:48.158.0	0x1cff0003	Data	Extend	8	3F 9F B0 FF FF FF FF FF 
880035	Receive	 14:56:48.158.0	0x09f11303	Data	Extend	8	FF 9B A3 D0 FF FF FF FF 
880036	Receive	 14:56:48.158.0	0x0df11403	Data	Extend	8	FF F8 FF FF FF FF FF FF 
880037	Receive	 14:56:48.158.0	0x1dff1a03	Data	Extend	8	A0 1D 3F 9F 8C FF FF FF 
880038	Receive	 14:56:48.158.0	0x1dff1a03	Data	Extend	8	A1 07 00 00 00 C8 FF FF 
880039	Receive	 14:56:48.174.0	0x1dff1a03	Data	Extend	8	A2 FF 00 D6 00 00 00 6A 
880040	Receive	 14:56:48.174.0	0x1dff1a03	Data	Extend	8	A3 01 00 00 1D EB FF FF 
880041	Receive	 14:56:48.174.0	0x1dff1a03	Data	Extend	8	A4 00 00 FF FF FF FF FF 
880042	Receive	 14:56:48.174.0	0x1dff1b03	Data	Extend	8	00 0A 3F 9F 38 00 73 00 
880043	Receive	 14:56:48.174.0	0x1dff1b03	Data	Extend	8	01 3A 00 49 00 FF FF FF 
880044	Receive	 14:56:48.174.0	0x18ea4512	Data	Extend	3	00 EE 00 
880045	Receive	 14:56:48.174.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 7F F6 FF FF 
880046	Receive	 14:56:48.190.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
880047	Receive	 14:56:48.190.0	0x0df50b23	Data	Extend	8	FF D3 02 00 00 00 00 0E 
880048	Receive	 14:56:48.206.0	0x09f80103	Data	Extend	8	31 DC 50 1D A2 0B CD FF 
880049	Receive	 14:56:48.222.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F F4 F7 FF FF 
880050	Receive	 14:56:48.238.0	0x04ff1914	Data	Extend	8	41 9F 64 0A 08 00 00 00 
880051	Receive	 14:56:48.238.0	0x04ff1914	Data	Extend	8	41 9F 64 02 C2 01 00 00 
880052	Receive	 14:56:48.238.0	0x09fd0219	Data	Extend	8	FF 24 00 A1 49 FA FF FF 
880053	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C0 DF 3F 9F 34 12 FF 10 
880054	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C1 16 05 3B 1D 39 87 30 
880055	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C2 11 FF FF FF 7F 2C 07 
880056	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C3 BA 03 61 2C 94 11 FF 
880057	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C4 FF FF 7F 2C 0D D5 38 
880058	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C5 24 18 C0 12 FF FF FF 
880059	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C6 7F 2C 0E 0A 24 56 3F 
880060	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C7 94 11 FF FF FF 7F 2C 
880061	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C8 0F 86 27 67 CA F8 11 
880062	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	C9 FF FF FF 7F 2C 12 9D 
880063	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	CA 09 06 C6 04 10 FF FF 
880064	Receive	 14:56:48.238.0	0x1dff1d03	Data	Extend	8	CB FF 7F 2C 14 82 0A BA 
880065	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	CC 7B 10 0E FF FF FF 7F 
880066	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	CD 2C 15 9F 0D F0 74 A0 
880067	Receive	 14:56:48.253.0	0x09fd0220	Data	Extend	8	FF 24 00 A1 49 FA FF FF 
880068	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	CE 0F FF FF FF 7F 2C 16 
880069	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	CF 74 23 B6 52 94 11 FF 
880070	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D0 FF FF 7F 2C 17 57 0D 
880071	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D1 FE D9 68 10 FF FF FF 
880072	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D2 7F 2C 18 D9 0D B1 AB 
880073	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D3 CC 10 FF FF FF 7F 0C 
880074	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D4 1E 0F 16 A1 2C C0 12 
880075	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D5 FF FF FF 7F 2C 22 80 
880076	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D6 16 CF 7E 00 00 FF FF 
880077	Receive	 14:56:48.253.0	0x1dff1d03	Data	Extend	8	D7 FF 7F 00 31 80 16 44 
880078	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	D8 75 00 00 FF FF FF 7F 
880079	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	D9 00 8A 9B 1F 03 45 30 
880080	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	DA 11 FF FF FF 7F 2C 8D 
880081	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	DB 0C 09 CF DF 68 10 FF 
880082	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	DC FF FF 7F 00 8F 73 0D 
880083	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	DD 2E D0 3C 0F FF FF FF 
880084	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	DE 7F 00 96 1F 12 54 C6 
880085	Receive	 14:56:48.254.0	0x1dff1d03	Data	Extend	8	DF D8 0E FF FF FF 7F 00 
880086	Receive	 14:56:48.254.0	0x0df11903	Data	Extend	8	FF E5 C4 81 01 3D 00 FF 
880087	Receive	 14:56:48.254.0	0x09f11203	Data	Extend	8	FF 55 BA FF 7F B8 00 FC 
880088	Receive	 14:56:48.254.0	0x19fa0403	Data	Extend	8	00 AB FF FF 0E 05 3B 1D 
880089	Receive	 14:56:48.254.0	0x19fa0403	Data	Extend	8	01 39 87 5C 12 FF FF FF 
880090	Receive	 14:56:48.254.0	0x19fa0403	Data	Extend	8	02 7F F5 07 BA 03 61 2C 
880091	Receive	 14:56:48.254.0	0x19fa0403	Data	Extend	8	03 30 11 FF FF FF 7F F5 
880092	Receive	 14:56:48.254.0	0x19fa0403	Data	Extend	8	04 0D D5 38 24 18 C0 12 
880093	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	05 FF FF FF 7F F5 0E 0A 
880094	Receive	 14:56:48.269.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
880095	Receive	 14:56:48.269.0	0x09f10514	Data	Extend	8	80 15 30 38 FF FF 7F FF 
880096	Receive	 14:56:48.269.0	0x09f10514	Data	Extend	8	81 FF FF FF D1 06 D1 06 
880097	Receive	 14:56:48.269.0	0x09f10514	Data	Extend	8	82 FF 7F FF 7F FF 7F FF 
880098	Receive	 14:56:48.269.0	0x09f10514	Data	Extend	8	83 FF FF FF FF FF FF FF 
880099	Receive	 14:56:48.269.0	0x09f10d14	Data	Extend	8	FF 00 8C FA FF 7F FF FF 
880100	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	06 24 56 3F 30 11 FF FF 
880101	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	07 FF 7F F5 0F 86 27 67 
880102	Receive	 14:56:48.269.0	0x04ff1913	Data	Extend	8	41 9F 64 02 02 00 00 00 
880103	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	08 CA 24 13 FF FF FF 7F 
880104	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	09 F5 12 9D 09 06 C6 74 
880105	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	0A 0E FF FF FF 7F F5 14 
880106	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	0B 82 0A BA 7B 94 11 FF 
880107	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	0C FF FF 7F F5 15 9F 0D 
880108	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	0D F0 74 A0 0F FF FF FF 
880109	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	0E 7F F5 16 74 23 B6 52 
880110	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	0F 94 11 FF FF FF 7F F5 
880111	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	10 17 57 0D FE D9 04 10 
880112	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	11 FF FF FF 7F F5 18 D9 
880113	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	12 0D B1 AB 30 11 FF FF 
880114	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	13 FF 7F F5 1E 0F 16 A1 
880115	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	14 2C 5C 12 FF FF FF 7F 
880116	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	15 F5 22 80 16 CF 7E 30 
880117	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	16 11 FF FF FF 7F F4 24 
880118	Receive	 14:56:48.269.0	0x19fa0403	Data	Extend	8	17 C5 13 95 65 94 11 FF 
880119	Receive	 14:56:48.284.0	0x19fa0403	Data	Extend	8	18 FF FF 7F F4 FF FF FF 
880120	Receive	 14:56:48.284.0	0x1cff0003	Data	Extend	8	3F 9F B3 FF FF FF FF FF 
880121	Receive	 14:56:48.284.0	0x09f11303	Data	Extend	8	FF B7 DA D0 FF FF FF FF 
880122	Receive	 14:56:48.284.0	0x0df11403	Data	Extend	8	FF F8 FF FF FF FF FF FF 
880123	Receive	 14:56:48.284.0	0x1dff1a03	Data	Extend	8	C0 1D 3F 9F 1A 00 00 00 
880124	Receive	 14:56:48.284.0	0x1dff1a03	Data	Extend	8	C1 FF FF FF FF 23 00 00 
880125	Receive	 14:56:48.284.0	0x1dff1a03	Data	Extend	8	C2 00 00 F9 00 00 00 CD 
880126	Receive	 14:56:48.284.0	0x1dff1a03	Data	Extend	8	C3 02 00 00 0E EB FF FF 
880127	Receive	 14:56:48.284.0	0x1dff1a03	Data	Extend	8	C4 00 00 FF FF FF FF FF 
880128	Receive	 14:56:48.284.0	0x1dff1b03	Data	Extend	8	20 0A 3F 9F 3D 00 73 00 
880129	Receive	 14:56:48.284.0	0x15fd08d8	Data	Extend	8	FF 04 03 51 81 FF FF FF 
880130	Receive	 14:56:48.284.0	0x1dff1b03	Data	Extend	8	21 3A 00 49 00 FF FF FF 
880131	Receive	 14:56:48.284.0	0x09f80203	Data	Extend	8	FF FC E4 C9 9F 00 FF FF 
880132	Receive	 14:56:48.284.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 76 F9 FF FF 
880133	Receive	 14:56:48.300.0	0x0df50b23	Data	Extend	8	FF D3 02 00 00 00 00 0E 
880134	Receive	 14:56:48.300.0	0x19f21448	Data	Extend	8	48 9C 13 54 FE 3F 75 FF 
880135	Receive	 14:56:48.300.0	0x09f80103	Data	Extend	8	33 DC 50 1D 8A 0B CD FF 
880136	Receive	 14:56:48.300.0	0x15fd0603	Data	Extend	8	FF FF FF D5 70 03 04 FF 
880137	Receive	 14:56:48.331.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F DC F9 FF FF 
880138	Receive	 14:56:48.331.0	0x09fe1203	Data	Extend	8	80 0C FF 7F FF 7F 30 06 
880139	Receive	 14:56:48.331.0	0x09fe1203	Data	Extend	8	81 3B 00 FF 7F AF 02 FF 
880140	Receive	 14:56:48.347.0	0x09fd0219	Data	Extend	8	FF 24 00 A1 49 FA FF FF 
880141	Receive	 14:56:48.347.0	0x09fd0220	Data	Extend	8	FF 24 00 A1 49 FA FF FF 
880142	Receive	 14:56:48.347.0	0x0df11903	Data	Extend	8	FF 8F C4 78 01 42 00 FF 
880143	Receive	 14:56:48.363.0	0x09f11203	Data	Extend	8	FF FF B9 FF 7F B8 00 FC 
880144	Receive	 14:56:48.363.0	0x1cff0003	Data	Extend	8	3F 9F B7 FF FF FF FF FF 
880145	Receive	 14:56:48.363.0	0x15fd0719	Data	Extend	8	FF C1 BB 71 FF FF E2 03 
880146	Receive	 14:56:48.363.0	0x09f11303	Data	Extend	8	FF 8A 0F D1 FF FF FF FF 
880147	Receive	 14:56:48.363.0	0x0df11403	Data	Extend	8	FF F9 FF FF FF FF FF FF 
880148	Receive	 14:56:48.363.0	0x1dff1a03	Data	Extend	8	E0 1D 3F 9F AD FF FF FF 
880149	Receive	 14:56:48.363.0	0x1dff1a03	Data	Extend	8	E1 F7 FF FF FF 31 00 00 
880150	Receive	 14:56:48.363.0	0x1dff1a03	Data	Extend	8	E2 00 00 10 01 00 00 97 
880151	Receive	 14:56:48.363.0	0x1dff1a03	Data	Extend	8	E3 02 00 00 0A EB FF FF 
880152	Receive	 14:56:48.363.0	0x1dff1a03	Data	Extend	8	E4 00 00 FF FF FF FF FF 
880153	Receive	 14:56:48.363.0	0x1dff1b03	Data	Extend	8	40 0A 3F 9F 43 00 73 00 
880154	Receive	 14:56:48.364.0	0x1dff1b03	Data	Extend	8	41 3A 00 49 00 FF FF FF 
880155	Receive	 14:56:48.364.0	0x1dff1d03	Data	Extend	8	E0 37 3F 9F 34 22 FF 10 
880156	Receive	 14:56:48.364.0	0x1dff1d03	Data	Extend	8	E1 16 9E 9E 1D 79 64 C0 
880157	Receive	 14:56:48.364.0	0x1dff1d03	Data	Extend	8	E2 12 FF FF FF 7F 0C A0 
880158	Receive	 14:56:48.364.0	0x1dff1d03	Data	Extend	8	E3 3B 33 54 D1 88 13 FF 
880159	Receive	 14:56:48.378.0	0x1dff1d03	Data	Extend	8	E4 FF FF 7F 28 A1 D7 1D 
880160	Receive	 14:56:48.378.0	0x1dff1d03	Data	Extend	8	E5 A2 30 5C 12 FF FF FF 
880161	Receive	 14:56:48.378.0	0x1dff1d03	Data	Extend	8	E6 7F 0C A4 62 0B C5 AA 
880162	Receive	 14:56:48.378.0	0x1dff1d03	Data	Extend	8	E7 CC 10 FF FF FF 7F 00 
880163	Receive	 14:56:48.378.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 27 FA FF FF 
880164	Receive	 14:56:48.394.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
880165	Receive	 14:56:48.394.0	0x0df50b23	Data	Extend	8	FF D3 02 00 00 00 00 0E 
880166	Receive	 14:56:48.410.0	0x09f80103	Data	Extend	8	35 DC 50 1D 73 0B CD FF 
880167	Receive	 14:56:48.410.0	0x19f21445	Data	Extend	8	45 1E 05 96 FF 78 1E FF 
880168	Receive	 14:56:48.426.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 27 FA FF FF 
880169	Receive	 14:56:48.442.0	0x09fd0219	Data	Extend	8	FF 24 00 A1 49 FA FF FF 
880170	Receive	 14:56:48.442.0	0x09fd0220	Data	Extend	8	FF 24 00 A1 49 FA FF FF 
880171	Receive	 14:56:48.442.0	0x18ea4512	Data	Extend	3	00 EE 00 
880172	Receive	 14:56:48.458.0	0x0df11903	Data	Extend	8	FF 3E C4 70 01 46 00 FF 
880173	Receive	 14:56:48.458.0	0x09f11203	Data	Extend	8	FF AE B9 FF 7F B8 00 FC 
880174	Receive	 14:56:48.458.0	0x1cff0003	Data	Extend	8	3F 9F BC FF FF FF FF FF 
880175	Receive	 14:56:48.458.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
880176	Receive	 14:56:48.458.0	0x09f10514	Data	Extend	8	A0 15 30 38 FF FF 7F FF 
880177	Receive	 14:56:48.458.0	0x09f10514	Data	Extend	8	A1 FF FF FF D1 06 D1 06 
880178	Receive	 14:56:48.458.0	0x09f10514	Data	Extend	8	A2 FF 7F FF 7F FF 7F FF 
880179	Receive	 14:56:48.458.0	0x09f10514	Data	Extend	8	A3 FF FF FF FF FF FF FF 
880180	Receive	 14:56:48.458.0	0x09f10d14	Data	Extend	8	FF 00 8C FA FF 7F FF FF 
880181	Receive	 14:56:48.474.0	0x09f11303	Data	Extend	8	FF 32 3E D1 FF FF FF FF 
880182	Receive	 14:56:48.474.0	0x0df11403	Data	Extend	8	FF F9 FF FF FF FF FF FF 
880183	Receive	 14:56:48.474.0	0x15fd0a03	Data	Extend	8	FF 00 00 8A AC 0F 00 FF 
880184	Receive	 14:56:48.474.0	0x1dff1a03	Data	Extend	8	00 1D 3F 9F C1 FF FF FF 
880185	Receive	 14:56:48.474.0	0x1dff1a03	Data	Extend	8	01 F2 FF FF FF 64 00 00 
