Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1310000	Receive	 15:10:33.302.0	0x15fd0603	Data	Extend	8	FF FF FF DA 70 03 04 FF 
1310001	Receive	 15:10:33.302.0	0x04ff1914	Data	Extend	8	41 9F 64 0A 08 00 00 00 
1310002	Receive	 15:10:33.302.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
1310003	Receive	 15:10:33.317.0	0x1cff1912	Data	Extend	8	41 9F 64 03 00 00 00 00 
1310004	Receive	 15:10:33.317.0	0x0df50b23	Data	Extend	8	FF 08 03 00 00 00 00 0E 
1310005	Receive	 15:10:33.317.0	0x19f21445	Data	Extend	8	45 1E 05 A9 FF 78 1E FF 
1310006	Receive	 15:10:33.333.0	0x09fe1203	Data	Extend	8	00 0C FF 7F FF 7F 90 06 
1310007	Receive	 15:10:33.333.0	0x09fe1203	Data	Extend	8	01 A7 FF FF 7F 00 FF FF 
1310008	Receive	 15:10:33.349.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F D1 FA FF FF 
1310009	Receive	 15:10:33.349.0	0x0df11903	Data	Extend	8	FF F7 05 1F 01 72 FF FF 
1310010	Receive	 15:10:33.349.0	0x09f11203	Data	Extend	8	FF F7 05 FF 7F B8 00 FC 
1310011	Receive	 15:10:33.349.0	0x1cff0003	Data	Extend	8	3F 9F 04 00 00 00 FF FF 
1310012	Receive	 15:10:33.365.0	0x09f11303	Data	Extend	8	FF AB CA 0C 00 FF FF FF 
1310013	Receive	 15:10:33.365.0	0x0df11403	Data	Extend	8	FF 00 00 FF FF FF FF FF 
1310014	Receive	 15:10:33.365.0	0x1dff1a03	Data	Extend	8	20 1D 3F 9F 04 00 00 00 
1310015	Receive	 15:10:33.365.0	0x1dff1a03	Data	Extend	8	21 0E 01 00 00 0E 00 00 
1310016	Receive	 15:10:33.365.0	0x1dff1a03	Data	Extend	8	22 00 00 2A 00 00 00 82 
1310017	Receive	 15:10:33.365.0	0x09fd0219	Data	Extend	8	FF 4E 01 D0 33 FA FF FF 
1310018	Receive	 15:10:33.365.0	0x1dff1a03	Data	Extend	8	23 FF FF FF 1D 06 00 00 
1310019	Receive	 15:10:33.365.0	0x1dff1a03	Data	Extend	8	24 00 00 FF FF FF FF FF 
1310020	Receive	 15:10:33.365.0	0x1dff1b03	Data	Extend	8	80 0A 3F 9F 72 FF BF 00 
1310021	Receive	 15:10:33.365.0	0x1dff1b03	Data	Extend	8	81 B3 00 07 00 FF FF FF 
1310022	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E0 2B 3F 9F 34 22 FF 0F 
1310023	Receive	 15:10:33.365.0	0x18ea4512	Data	Extend	3	00 EE 00 
1310024	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E1 15 9E 0B 21 0F 62 24 
1310025	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E2 13 FF FF FF 7F 0C A0 
1310026	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E3 73 36 13 D6 C0 12 FF 
1310027	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E4 FF FF 7F 28 A1 D4 1C 
1310028	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E5 5B 2C C0 12 FF FF FF 
1310029	Receive	 15:10:33.365.0	0x1dff1d03	Data	Extend	8	E6 7F 0C FF FF FF FF FF 
1310030	Receive	 15:10:33.365.0	0x09fd0220	Data	Extend	8	FF 4E 01 D0 33 FA FF FF 
1310031	Receive	 15:10:33.395.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CD FA FF FF 
1310032	Receive	 15:10:33.395.0	0x09f8010c	Data	Extend	8	60 D9 50 1D 22 89 CC FF 
1310033	Receive	 15:10:33.395.0	0x09f80103	Data	Extend	8	5A DB 50 1D FC 88 CC FF 
1310034	Receive	 15:10:33.411.0	0x1dff010d	Data	Extend	8	40 1C 27 99 00 07 03 00 
