Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1290000	Receive	 15:09:58.969.0	0x1cff1912	Data	Extend	8	41 9F 64 03 00 00 00 00 
1290001	Receive	 15:09:58.969.0	0x1dff1a03	Data	Extend	8	24 00 00 FF FF FF FF FF 
1290002	Receive	 15:09:58.969.0	0x1dff1b03	Data	Extend	8	80 0A 3F 9F 51 00 0C 00 
1290003	Receive	 15:09:58.969.0	0x1dff1b03	Data	Extend	8	81 02 00 52 00 FF FF FF 
1290004	Receive	 15:09:58.969.0	0x09fd0219	Data	Extend	8	FF B0 01 9E EE FA FF FF 
1290005	Receive	 15:09:58.969.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F DA F7 FF FF 
1290006	Receive	 15:09:58.982.0	0x09fd0220	Data	Extend	8	FF B0 01 9E EE FA FF FF 
1290007	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	80 DF 3F 9F 24 12 FF 12 
1290008	Receive	 15:09:58.982.0	0x09f80109	Data	Extend	8	67 D0 50 1D D5 77 CC FF 
1290009	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	81 1E 05 02 19 88 85 C0 
1290010	Receive	 15:09:58.982.0	0x09f8010c	Data	Extend	8	00 D0 50 1D 6B 7A CC FF 
1290011	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	82 12 FF FF FF 7F 16 0D 
1290012	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	83 A4 36 B8 33 C0 12 FF 
1290013	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	84 FF FF 7F 16 0E 97 23 
1290014	Receive	 15:09:58.982.0	0x19f21448	Data	Extend	8	48 56 13 5E FE 07 76 FF 
1290015	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	85 98 38 5C 12 FF FF FF 
1290016	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	86 7F 16 0F B8 2B 29 C9 
1290017	Receive	 15:09:58.982.0	0x1dff1d03	Data	Extend	8	87 24 13 FF FF FF 7F 16 
1290018	Receive	 15:09:58.997.0	0x1dff1d03	Data	Extend	8	88 11 41 03 77 4D 00 00 
1290019	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	89 FF FF FF 7F 00 12 F3 
1290020	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	8A 07 6C C2 10 0E FF FF 
1290021	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	8B FF 7F 06 14 A9 06 1B 
1290022	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	8C 7B D8 0E FF FF FF 7F 
1290023	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	8D 16 15 A7 09 E3 74 04 
1290024	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	8E 10 FF FF FF 7F 06 16 
1290025	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	8F 7D 25 26 4C 5C 12 FF 
1290026	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	90 FF FF 7F 16 17 6B 10 
1290027	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	91 07 D8 94 11 FF FF FF 
1290028	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	92 7F 16 18 62 11 FC AD 
1290029	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	93 68 10 FF FF FF 7F 16 
1290030	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	94 1E 7E 12 F5 2D F8 11 
1290031	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	95 FF FF FF 7F 16 24 C5 
1290032	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	96 13 95 65 00 00 FF FF 
1290033	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	97 FF 7F 00 31 80 16 44 
1290034	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	98 75 00 00 FF FF FF 7F 
1290035	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	99 00 41 3C 09 55 5C 3C 
1290036	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	9A 0F FF FF FF 7F 10 42 
1290037	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	9B 1D 2B 0D 55 68 10 FF 
1290038	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	9C FF FF 7F 12 43 2F 24 
1290039	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	9D 02 DB 5C 12 FF FF FF 
1290040	Receive	 15:09:58.998.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
1290041	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	9E 7F 12 44 C9 03 90 D7 
1290042	Receive	 15:09:58.998.0	0x1dff1d03	Data	Extend	8	9F 3C 0F FF FF FF 7F 00 
1290043	Receive	 15:09:58.998.0	0x09f80103	Data	Extend	8	EC CE 50 1D 77 7B CC FF 
1290044	Receive	 15:09:58.998.0	0x19f2140f	Data	Extend	8	00 3E 13 6D FE 33 77 AE 
1290045	Receive	 15:09:58.998.0	0x19f2120f	Data	Extend	8	40 09 AE 00 00 FE FF 5D 
1290046	Receive	 15:09:58.998.0	0x19f2120f	Data	Extend	8	41 02 00 00 FF FF FF FF 
1290047	Receive	 15:09:59.013.0	0x0df50b23	Data	Extend	8	FF F1 02 00 00 00 00 0E 
1290048	Receive	 15:09:59.013.0	0x09f50323	Data	Extend	8	FF 8C 00 FF FF 00 FF FF 
1290049	Receive	 15:09:59.029.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 24 F7 FF FF 
1290050	Receive	 15:09:59.030.0	0x09f80203	Data	Extend	8	FF FC BF 45 AB 00 FF FF 
1290051	Receive	 15:09:59.045.0	0x0df11903	Data	Extend	8	FF AD 46 A9 00 4F 00 FF 
1290052	Receive	 15:09:59.045.0	0x09f11203	Data	Extend	8	FF AD 46 FF 7F B8 00 FC 
1290053	Receive	 15:09:59.045.0	0x1cff0003	Data	Extend	8	3F 9F 09 00 00 00 FF FF 
1290054	Receive	 15:09:59.045.0	0x19fa0303	Data	Extend	8	FF D3 32 00 32 00 FF 7F 
1290055	Receive	 15:09:59.061.0	0x09f11303	Data	Extend	8	FF 49 0C 04 00 FF FF FF 
1290056	Receive	 15:09:59.061.0	0x0df11403	Data	Extend	8	FF 01 00 FF FF FF FF FF 
1290057	Receive	 15:09:59.061.0	0x1dff1a03	Data	Extend	8	40 1D 3F 9F 19 01 00 00 
1290058	Receive	 15:09:59.061.0	0x1dff1a03	Data	Extend	8	41 F7 FF FF FF 53 00 00 
1290059	Receive	 15:09:59.061.0	0x1dff1a03	Data	Extend	8	42 00 00 FD FF FF FF 6B 
1290060	Receive	 15:09:59.061.0	0x1dff1a03	Data	Extend	8	43 FF FF FF F1 01 00 00 
1290061	Receive	 15:09:59.061.0	0x1dff1a03	Data	Extend	8	44 00 00 FF FF FF FF FF 
1290062	Receive	 15:09:59.061.0	0x1dff1b03	Data	Extend	8	A0 0A 3F 9F 4F 00 0C 00 
1290063	Receive	 15:09:59.061.0	0x1dff1b03	Data	Extend	8	A1 02 00 52 00 FF FF FF 
1290064	Receive	 15:09:59.061.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 63 F5 FF FF 
1290065	Receive	 15:09:59.077.0	0x09fd0219	Data	Extend	8	FF B0 01 9E EE FA FF FF 
1290066	Receive	 15:09:59.077.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
1290067	Receive	 15:09:59.077.0	0x09fd0220	Data	Extend	8	FF B0 01 9E EE FA FF FF 
1290068	Receive	 15:09:59.077.0	0x09fe1203	Data	Extend	8	E0 0C FF 7F FF 7F 93 06 
1290069	Receive	 15:09:59.077.0	0x09fe1203	Data	Extend	8	E1 0F 00 FF 7F D9 FF FF 
1290070	Receive	 15:09:59.077.0	0x19f51323	Data	Extend	8	80 0E FF FF FF FF FF FF 
1290071	Receive	 15:09:59.077.0	0x19f51323	Data	Extend	8	81 79 21 03 00 79 21 03 
1290072	Receive	 15:09:59.077.0	0x09f80109	Data	Extend	8	67 D0 50 1D D5 77 CC FF 
1290073	Receive	 15:09:59.093.0	0x09f8010c	Data	Extend	8	00 D0 50 1D 6B 7A CC FF 
1290074	Receive	 15:09:59.093.0	0x19f51323	Data	Extend	8	82 00 FF FF FF FF FF FF 
1290075	Receive	 15:09:59.093.0	0x09f80103	Data	Extend	8	17 CF 50 1D 7D 7B CC FF 
1290076	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A0 97 3F 9F 24 22 FF 12 
1290077	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A1 1E 4B ED 07 14 18 3C 
1290078	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A2 0F FF FF FF 7F 12 4C 
1290079	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A3 6A 2E 62 24 C0 12 FF 
1290080	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A4 FF FF 7F 12 4D 62 26 
1290081	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A5 F2 88 68 10 FF FF FF 
1290082	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A6 7F 12 53 FF 05 CC D5 
1290083	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A7 10 0E FF FF FF 7F 02 
1290084	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A8 54 EB 05 92 01 74 0E 
1290085	Receive	 15:09:59.109.0	0x1dff1d03	Data	Extend	8	A9 FF FF FF 7F 00 8A D0 
