Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1580000	Receive	 15:18:33.668.0	0x1dff1b03	Data	Extend	8	E1 08 00 2F 00 FF FF FF 
1580001	Receive	 15:18:33.668.0	0x1dff1e03	Data	Extend	8	40 1C 3F 9F F0 00 00 00 
1580002	Receive	 15:18:33.668.0	0x1dff1e03	Data	Extend	8	41 00 00 00 00 00 00 00 
1580003	Receive	 15:18:33.668.0	0x1dff1e03	Data	Extend	8	42 00 00 00 00 08 00 00 
1580004	Receive	 15:18:33.668.0	0x1dff1e03	Data	Extend	8	43 00 00 00 00 00 00 00 
1580005	Receive	 15:18:33.668.0	0x1dff1e03	Data	Extend	8	44 00 FF FF FF FF FF FF 
1580006	Receive	 15:18:33.668.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 20 00 FF FF 
1580007	Receive	 15:18:33.681.0	0x18ea4512	Data	Extend	3	00 EE 00 
1580008	Receive	 15:18:33.681.0	0x04ff1913	Data	Extend	8	41 9F 64 02 02 00 00 00 
1580009	Receive	 15:18:33.697.0	0x09f80103	Data	Extend	8	93 36 51 1D 8B A2 CD FF 
1580010	Receive	 15:18:33.697.0	0x09f80109	Data	Extend	8	B8 36 51 1D AE A1 CD FF 
1580011	Receive	 15:18:33.697.0	0x09f8010c	Data	Extend	8	80 36 51 1D BB A1 CD FF 
1580012	Receive	 15:18:33.697.0	0x09f80209	Data	Extend	8	57 FC F8 33 20 00 FF FF 
1580013	Receive	 15:18:33.697.0	0x09f8020c	Data	Extend	8	57 FC F3 33 1E 00 FF FF 
1580014	Receive	 15:18:33.713.0	0x09fd0219	Data	Extend	8	FF 49 01 A2 0D FA FF FF 
1580015	Receive	 15:18:33.729.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F 1D 00 FF FF 
1580016	Receive	 15:18:33.729.0	0x0df50b23	Data	Extend	8	FF 0F 03 00 00 00 00 0E 
1580017	Receive	 15:18:33.729.0	0x09fd0220	Data	Extend	8	FF 49 01 A2 0D FA FF FF 
1580018	Receive	 15:18:33.729.0	0x1dff1d03	Data	Extend	8	00 DF 3F 9F 14 12 FF 0E 
1580019	Receive	 15:18:33.729.0	0x1dff1d03	Data	Extend	8	01 1E 05 45 16 A9 84 94 
1580020	Receive	 15:18:33.729.0	0x1dff1d03	Data	Extend	8	02 11 FF FF FF 7F 23 0D 
1580021	Receive	 15:18:33.729.0	0x1dff1d03	Data	Extend	8	03 6D 34 50 3D C0 12 FF 
1580022	Receive	 15:18:33.729.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
1580023	Receive	 15:18:33.729.0	0x09f10514	Data	Extend	8	20 15 30 3A 1F 00 00 FF 
1580024	Receive	 15:18:33.729.0	0x09f10514	Data	Extend	8	21 FF FF FF D1 06 D1 06 
1580025	Receive	 15:18:33.729.0	0x09f10514	Data	Extend	8	22 FF 7F FF 7F FF 7F FF 
1580026	Receive	 15:18:33.729.0	0x09f10514	Data	Extend	8	23 FF FF FF FF FF FF FF 
1580027	Receive	 15:18:33.729.0	0x09f10d14	Data	Extend	8	FF 00 00 00 FF 7F FF FF 
1580028	Receive	 15:18:33.730.0	0x1dff1d03	Data	Extend	8	04 FF FF 7F 23 0E CF 22 
1580029	Receive	 15:18:33.730.0	0x1dff1d03	Data	Extend	8	05 89 34 94 11 FF FF FF 
1580030	Receive	 15:18:33.730.0	0x1dff1d03	Data	Extend	8	06 7F 23 0F 69 2E 4E C7 
1580031	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	07 30 11 FF FF FF 7F 23 
1580032	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	08 11 1A 05 B2 4B 04 10 
1580033	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	09 FF FF FF 7F 00 12 AD 
1580034	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	0A 06 30 C0 D8 0E FF FF 
1580035	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	0B FF 7F 02 14 3A 04 AA 
1580036	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	0C 7A 10 0E FF FF FF 7F 
1580037	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	0D 00 15 23 07 CF 74 D8 
1580038	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	0E 0E FF FF FF 7F 00 16 
1580039	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	0F 55 26 5C 47 5C 12 FF 
1580040	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	10 FF FF 7F 23 17 4C 12 
1580041	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	11 6B D6 68 10 FF FF FF 
1580042	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	12 7F 23 18 B7 13 8B AF 
1580043	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	13 CC 10 FF FF FF 7F 23 
1580044	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	14 1E 38 10 EF 2E 04 10 
1580045	Receive	 15:18:33.745.0	0x0df8050c	Data	Extend	8	E0 2B 57 FF FF FF FF FF 
1580046	Receive	 15:18:33.745.0	0x1dff1d03	Data	Extend	8	15 FF FF FF 7F 23 22 80 
1580047	Receive	 15:18:33.745.0	0x0df8050c	Data	Extend	8	E1 FF 00 00 00 00 90 71 
